PlaneIdx,SatId,Side,OldNeighborSatId,NewNeighborSatId,StartTime_UTCG,EndTime_UTCG,Duration_sec,Duration_min
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 18:41:22.725,2025-12-15 18:50:39.632,556.91,9.28
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 18:58:32.341,2025-12-15 19:23:55.924,1523.58,25.39
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 19:29:14.075,2025-12-15 19:38:27.120,553.04,9.22
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 19:46:21.911,2025-12-15 20:11:45.429,1523.52,25.39
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 20:17:05.148,2025-12-15 20:26:15.123,549.98,9.17
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 20:34:11.497,2025-12-15 20:59:35.060,1523.56,25.39
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 21:04:55.903,2025-12-15 21:14:03.575,547.67,9.13
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 21:22:01.091,2025-12-15 21:47:24.790,1523.70,25.39
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 21:52:46.298,2025-12-15 22:01:52.418,546.12,9.10
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 22:09:50.688,2025-12-15 22:35:14.594,1523.91,25.40
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 22:40:36.283,2025-12-15 22:49:41.604,545.32,9.09
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 22:57:40.284,2025-12-15 23:23:04.445,1524.16,25.40
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 23:28:25.801,2025-12-15 23:37:31.092,545.29,9.09
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 23:45:29.871,2025-12-16 00:00:00.000,870.13,14.50
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 00:14:06.122,2025-12-15 00:23:16.390,550.27,9.17
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 00:31:12.615,2025-12-15 00:56:36.169,1523.55,25.39
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 01:01:56.913,2025-12-15 01:11:04.796,547.88,9.13
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 01:19:02.209,2025-12-15 01:44:25.890,1523.68,25.39
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 01:49:47.349,2025-12-15 01:58:53.600,546.25,9.10
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 02:06:51.806,2025-12-15 02:32:15.687,1523.88,25.40
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 02:37:37.381,2025-12-15 02:46:42.751,545.37,9.09
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 02:54:41.402,2025-12-15 03:20:05.534,1524.13,25.40
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 03:25:26.951,2025-12-15 03:34:32.208,545.26,9.09
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 03:42:30.991,2025-12-15 04:07:55.406,1524.41,25.41
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 04:13:15.995,2025-12-15 04:22:21.934,545.94,9.10
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 04:30:20.567,2025-12-15 04:55:45.277,1524.71,25.41
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 05:01:04.434,2025-12-15 05:10:11.898,547.46,9.12
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 05:18:10.125,2025-12-15 05:43:35.123,1525.00,25.42
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 05:48:52.177,2025-12-15 05:58:02.072,549.89,9.16
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 06:05:59.648,2025-12-15 06:31:24.919,1525.27,25.42
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 06:36:39.114,2025-12-15 06:45:52.431,553.32,9.22
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 06:53:48.870,2025-12-15 07:19:14.639,1525.77,25.43
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 07:24:25.113,2025-12-15 07:33:42.955,557.84,9.30
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 07:41:38.158,2025-12-15 08:07:04.259,1526.10,25.44
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 08:12:10.011,2025-12-15 08:21:33.624,563.61,9.39
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 08:59:57.071,2025-12-15 09:09:24.421,567.35,9.46
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 09:47:49.261,2025-12-15 09:57:15.331,566.07,9.43
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 10:35:41.296,2025-12-15 10:45:06.342,565.05,9.42
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 11:23:33.152,2025-12-15 11:32:56.043,562.89,9.38
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 12:11:24.801,2025-12-15 12:20:42.778,557.98,9.30
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 12:28:34.893,2025-12-15 12:53:58.512,1523.62,25.39
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 12:59:16.214,2025-12-15 13:08:30.128,553.91,9.23
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 13:16:24.459,2025-12-15 13:41:47.982,1523.52,25.39
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 13:47:07.358,2025-12-15 13:56:18.012,550.65,9.18
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 14:04:14.042,2025-12-15 14:29:37.585,1523.54,25.39
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 14:34:58.195,2025-12-15 14:44:06.360,548.17,9.14
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 14:52:03.634,2025-12-15 15:17:27.293,1523.66,25.39
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 15:22:48.682,2025-12-15 15:31:55.112,546.43,9.11
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 15:39:53.231,2025-12-15 16:05:17.081,1523.85,25.40
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 16:10:38.772,2025-12-15 16:19:44.218,545.45,9.09
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 16:27:42.828,2025-12-15 16:53:06.923,1524.10,25.40
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 16:58:28.410,2025-12-15 17:07:33.636,545.23,9.09
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 17:15:32.418,2025-12-15 17:40:56.793,1524.38,25.41
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 17:46:17.530,2025-12-15 17:55:23.327,545.80,9.10
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 18:03:21.996,2025-12-15 18:28:46.666,1524.67,25.41
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 18:34:06.057,2025-12-15 18:43:13.260,547.20,9.12
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 18:51:11.557,2025-12-15 19:16:36.517,1524.96,25.42
