Time_UTCG,SatId,FrontId,FrontRangeKm,BackId,BackRangeKm,LeftId,LeftRangeKm,LeftChanged,RightId,RightRangeKm,RightChanged
'15 Dec 2025 03:00:00.000,Sat_1_6,Sat_1_7,3316.023416860419,Sat_1_5,3316.0234168604356,Sat_15_7,1743.6467605372216,0,Sat_2_5,96.05095386098988,0
'15 Dec 2025 04:00:00.000,Sat_1_6,Sat_1_7,3316.0234168604197,Sat_1_5,3316.0234168604366,Sat_15_6,2504.2179598586686,1,Sat_2_5,1624.494059412709,0
'15 Dec 2025 05:00:00.000,Sat_1_6,Sat_1_7,3316.023416860417,Sat_1_5,3316.0234168604366,Sat_15_7,2649.78487957636,1,Sat_2_5,2302.283647094084,0
'15 Dec 2025 06:00:00.000,Sat_1_6,Sat_1_7,3316.0234168604184,Sat_1_5,3316.0234168604607,Sat_15_7,1796.0637559328763,0,Sat_2_5,1586.7399179515892,0
'15 Dec 2025 07:00:00.000,Sat_1_6,Sat_1_7,3316.023416860417,Sat_1_5,3316.023416860463,Sat_15_6,1772.5715484357365,1,Sat_2_5,127.2624093632033,0
'15 Dec 2025 08:00:00.000,Sat_1_6,Sat_1_7,3316.0234168604184,Sat_1_5,3316.023416860461,Sat_15_6,2561.701696798616,0,Sat_2_5,1715.4521532426159,0
'15 Dec 2025 09:00:00.000,Sat_1_6,Sat_1_7,3316.0234168604197,Sat_1_5,3316.023416860461,Sat_15_7,2608.0642637478645,1,Sat_2_5,2296.9708049713254,0
'15 Dec 2025 10:00:00.000,Sat_1_6,Sat_1_7,3316.0234168604175,Sat_1_5,3316.023416860462,Sat_15_7,1738.2402406897063,0,Sat_2_5,1488.4062618982393,0
'15 Dec 2025 11:00:00.000,Sat_1_6,Sat_1_7,3316.023416860418,Sat_1_5,3316.023416860461,Sat_15_6,1804.0851120370214,1,Sat_2_5,240.86355237418883,0
'15 Dec 2025 12:00:00.000,Sat_1_6,Sat_1_7,3316.0234168604197,Sat_1_5,3316.023416860509,Sat_15_6,2615.627647722899,0,Sat_2_5,1800.7671289566347,0
'15 Dec 2025 13:00:00.000,Sat_1_6,Sat_1_7,3316.023416860417,Sat_1_5,3316.0234168605093,Sat_15_7,2561.231023858229,1,Sat_2_5,2284.077308078759,0
'15 Dec 2025 14:00:00.000,Sat_1_6,Sat_1_7,3316.0234168604197,Sat_1_5,3316.0234168605098,Sat_15_7,1686.5105320417588,0,Sat_2_5,1385.1941111703761,0
'15 Dec 2025 15:00:00.000,Sat_1_6,Sat_1_7,3316.023416860419,Sat_1_5,3316.0234168605098,Sat_15_6,1843.668149377993,1,Sat_2_5,366.24030638341384,0
'15 Dec 2025 16:00:00.000,Sat_1_6,Sat_1_7,3316.0234168604175,Sat_1_5,3316.0234168605093,Sat_15_6,2665.519992687372,0,Sat_2_5,1880.153392435868,0
