Node Name(节点名称),Node IP(节点IP),Time(时间)(YYYY-MM-DD HH:MM:SS),CPU Usage(CPU使用率)(%)
k8s-worker12,10.1.2.10,2026-01-21 16:27:16,0.8500000000155126%
k8s-worker12,10.1.2.10,2026-01-21 17:27:16,0.8666666666007075%
k8s-worker12,10.1.2.10,2026-01-21 18:27:16,0.8958333333915363%
k8s-worker12,10.1.2.10,2026-01-21 19:27:16,0.8324722509210858%
k8s-worker12,10.1.2.10,2026-01-21 20:27:16,0.8991366954046924%
k8s-worker12,10.1.2.10,2026-01-21 21:27:16,0.8666666667947283%
k8s-worker12,10.1.2.10,2026-01-21 22:27:16,0.924999999891341%
k8s-worker12,10.1.2.10,2026-01-21 23:27:16,0.8958333333915363%
k8s-worker12,10.1.2.10,2026-01-22 00:27:16,0.925000000085376%
k8s-worker12,10.1.2.10,2026-01-22 01:27:16,0.8833333333798947%
k8s-worker12,10.1.2.10,2026-01-22 02:27:16,0.8716957234235991%
k8s-worker12,10.1.2.10,2026-01-22 03:27:16,0.9166666666472736%
k8s-worker12,10.1.2.10,2026-01-22 04:27:16,0.8041666666395031%
k8s-worker12,10.1.2.10,2026-01-22 05:27:16,0.9041666666356178%
k8s-worker12,10.1.2.10,2026-01-22 06:27:16,0.9033032232879918%
k8s-worker12,10.1.2.10,2026-01-22 07:27:16,0.938364612254631%
k8s-worker12,10.1.2.10,2026-01-22 08:27:16,0.9541666667792015%
k8s-worker12,10.1.2.10,2026-01-22 09:27:16,0.8958333334885538%
k8s-worker12,10.1.2.10,2026-01-22 10:27:16,0.9750000000349246%
k8s-worker12,10.1.2.10,2026-01-22 11:27:16,0.9041666666356178%
k8s-worker12,10.1.2.10,2026-01-22 12:27:16,0.9375000000970175%
k8s-worker12,10.1.2.10,2026-01-22 13:27:16,0.90503016764508%
k8s-worker12,10.1.2.10,2026-01-22 14:27:16,0.9249999998913552%
k8s-worker12,10.1.2.10,2026-01-22 15:27:16,0.9116362788605556%
k8s-worker13,10.1.3.10,2026-01-15 15:27:16,0.9166666667442769%
k8s-worker13,10.1.3.10,2026-01-15 16:27:16,1.0217007233419224%
k8s-worker13,10.1.3.10,2026-01-15 17:27:16,1.0166666666433883%
k8s-worker13,10.1.3.10,2026-01-15 18:27:16,1.0241325287992993%
k8s-worker13,10.1.3.10,2026-01-15 19:27:16,1.01666666669189%
k8s-worker13,10.1.3.10,2026-01-15 20:27:16,1.0074664177996624%
k8s-worker13,10.1.3.10,2026-01-15 21:27:16,0.9041666667326353%
k8s-worker13,10.1.3.10,2026-01-15 22:27:16,0.9658011400823057%
k8s-worker13,10.1.3.10,2026-01-15 23:27:16,0.9550318343653714%
k8s-worker13,10.1.3.10,2026-01-16 00:27:16,0.9624999999262656%
k8s-worker13,10.1.3.10,2026-01-16 01:27:16,1.01666666669189%
k8s-worker13,10.1.3.10,2026-01-16 02:27:16,0.9591986399294399%
k8s-worker13,10.1.3.10,2026-01-16 03:27:16,0.9958333332906477%
k8s-worker13,10.1.3.10,2026-01-16 04:27:16,1.0166666666433883%
k8s-worker13,10.1.3.10,2026-01-16 05:27:16,1.0458333333372138%
