UTCG,r_x,r_y,r_z,v_x,v_y,v_z,a_x,a_y,a_z,lla_Lat,lla_Lon,lla_Alt,coe_Semi-major_Axis,coe_Eccentricity,coe_Inclination,coe_RAAN,coe_Arg_of_Perigee,coe_True_Anomaly
15 Dec 2025 18:33:00.000,-6653.552390086492,-72.42876864128336,1929.7867645458796,1.6981877705118233,-4.734718703322807,5.67733785672339,0.007975206835061269,8.681594084743134e-05,-0.0023131175186578796,16.122501799103663,178.03965942924128,551.6371132600202,6928.137000000005,7.344424326128869e-16,53.00000456591201,167.99999084490761,0.0,20.412351287276156
15 Dec 2025 18:34:00.000,-6537.384175576533,-356.1514145557688,2266.01999143884,2.1726935089137696,-4.719301772516429,5.526405860877618,0.007835963092161294,0.0004268969460455367,-0.0027161397498026733,19.055452858194865,-179.7185209091577,552.2634661417425,6928.137000000003,1.869435330505481e-16,53.0000045659196,167.99999084491307,0.0,24.176077900646476
15 Dec 2025 18:35:00.000,-6393.016636365438,-638.3377840161171,2592.4786308514,2.637827228158381,-4.683527903908595,5.351635444477791,0.00766291854122445,0.0007651365104975182,-0.0031074457799899575,21.95263320730991,-177.38847851431282,552.968499893141,6928.136999999994,9.347176652527403e-16,53.00000456592719,167.99999084492114,0.0,27.93980451401686
15 Dec 2025 18:36:00.000,-6221.072508857499,-917.770652387869,2907.754487559436,3.091582551317267,-4.627551409822327,5.1537804882180644,0.007456819618340314,0.0011000756213850474,-0.0034853476916205084,24.806629614854597,-174.95296656132552,553.7399984806889,6928.137000000003,1.833862594403615e-16,53.000004565934795,167.99999084492532,0.0,31.703531127387187
15 Dec 2025 18:37:00.000,-6022.2934824121685,-1193.244672398794,3210.4876038161,3.5320021827280965,-4.551613747588035,4.933694449078375,0.007218555341239911,0.0014302695025584062,-0.003848215386412668,27.609135590841472,-172.3932657140059,554.5646066686716,6928.137000000003,2.1777308907249427e-16,53.000004565942405,167.99999084493078,0.0,35.467257740757525
15 Dec 2025 18:38:00.000,-5797.537000031119,-1463.5715734609464,3499.372125595712,3.9571863508831786,-4.456042478006389,4.692326678896276,0.006949153474474664,0.0017542938466462384,-0.004194483616910544,30.350759005191257,-169.68904334812532,555.4280641871555,6928.136999999999,1.8694353305054811e-16,53.00000456595003,167.99999084493626,0.0,39.230984354127884
15 Dec 2025 18:39:00.000,-5547.772559736014,-1727.5852873346548,3773.161935458636,4.365301003187025,-4.341249852398417,4.430718329291567,0.006649776096103881,0.0020707509588758976,-0.0045226587382550905,33.02080600115877,-166.81828939086998,556.3154547765041,6928.137,7.371280621547496e-16,53.00000456595767,167.99999084494303,0.0,42.99471096749823
15 Dec 2025 18:40:00.000,-5274.07753259175,-1984.1469780200807,4030.6760277394824,4.754585717231042,-4.207731034339707,4.149997860608158,0.006321714585014636,0.002378275786097207,-0.0048313251510938545,35.607044030605906,-163.75738297036523,557.211465594064,6928.137000000003,1.9723077280967784e-16,53.000004565965284,167.99999084494985,0.0,46.758437580868566
15 Dec 2025 18:41:00.000,-4977.632515413824,-2232.1499541820335,4270.803602872555,5.123361294461529,-4.0560619637480615,3.851376174245369,0.005966384050495995,0.002675541805006039,-0.00511915140783775,38.09545256595939,-160.48136886343238,558.1006523563769,6928.136999999996,7.371280621547494e-16,53.000004565972915,167.9999908449553,0.0,50.52216419423972
15 Dec 2025 18:42:00.000,-4659.716238206705,-2470.5244429169056,4492.508858879623,5.470037003484203,-3.88689687253853,3.5361413893761338,0.005585317228096403,0.002961266744167126,-0.005384895955924727,40.4699792810742,-156.9645526060853,558.9677055680492,6928.137000000003,2.3389816270725225e-16,53.00000456598057,167.99999084496076,0.0,54.2858908076101
15 Dec 2025 18:43:00.000,-4321.7000482994035,-2698.242204270198,4694.835459352441,5.7931174417617415,-3.7009654625621775,3.2056532865818563,0.005180157868093976,0.003234218115154382,-0.0056274124933175535,42.71233338958286,-153.18155340662022,559.7977132509383,6928.137000000003,1.869435330505481e-16,53.000004565988206,167.99999084496753,0.0,58.04961742098047
15 Dec 2025 18:44:00.000,-3965.0419949725197,-2914.320966599084,4876.9106586561875,6.0912089861048,-3.49906975800222,2.861337442372989,0.004752653645100214,0.0034932185289490514,-0.005845654913133161,44.801867036152416,-149.10897291100284,560.57641572811,6928.136999999996,5.513547367726534e-16,53.00000456599585,167.99999084497296,0.0,61.81334403435082
15 Dec 2025 18:45:00.000,-3591.2805400913076,-3117.8286636496114,5037.949066560259,6.3630258041340735,-3.2820806458028766,2.5046790798953324,0.004304648619380061,0.0037371507746653643,-0.006038681816075639,46.715619131423175,-144.72782254756402,561.2904482278884,6928.137000000003,7.259102969083143e-17,53.000004566003504,167.9999908449785,0.0,65.57707064772117
15 Dec 2025 18:46:00.000,-3202.027921875737,-3307.887455069473,5177.256036057247,6.607395400780488,-3.050934119056536,2.137216662347728,0.003838075282408412,0.003964962638693602,-0.006205660571207914,48.42861912865825,-140.0267667021769,561.9275673461323,6928.137000000001,3.685640310773749e-16,53.00000456601117,167.9999908449852,0.0,69.34079726109154
15 Dec 2025 18:47:00.000,-2798.9632004327123,-3483.677513014911,5294.230659756592,6.823263675899598,-2.806627239552453,1.7605352567462078,0.00335494622097441,0.004175671443474513,-0.0063458709075458015,49.91456021392391,-135.00604115395234,562.4768577303699,6928.1369999999915,9.169312972018073e-16,53.00000456601884,167.99999084499066,0.0,73.1045238744619
15 Dec 2025 18:48:00.000,-2383.825015048116,-3644.4405585185027,5388.368361927868,7.009699471184294,-2.5502138369012024,1.3762596966603038,0.0028573454357897717,0.004368368286327334,-0.006458708020981916,51.14693431874979,-129.68157330245458,562.9289157195013,6928.137000000004,3.133390745635204e-16,53.000004566026504,167.99999084499746,0.0,76.86825048783227
15 Dec 2025 18:49:00.000,-1958.4040844822537,-3789.483132361836,5459.263075012723,7.165898586760921,-2.2827999627905804,0.9860475734143858,0.002347419352051085,0.00454222196004511,-0.006543685183137648,52.1006542078377,-124.0884095210682,563.2760070789299,6928.1370000000015,4.265526918568054e-16,53.00000456603419,167.9999908450029,0.0,80.63197710120264
15 Dec 2025 18:50:00.000,-1524.5354826168134,-3918.1795863460306,5506.608991217059,7.291187250145033,-2.0055391199767514,0.5915820859868468,0.0018273675607296137,0.004696482538347939,-0.0066004358408896895,52.75405976739917,-118.28221543434022,563.5121964061697,6928.136999999992,1.1199348578646687e-15,53.00000456604187,167.9999908450084,0.0,84.395703714573
15 Dec 2025 18:51:00.000,-1084.0907227747095,-4029.974782055439,5530.201881627833,7.385025022591537,-1.7196272865946167,0.19456478044941203,0.0012994333305290143,0.004830484610726163,-0.006628715197514761,53.09103707303926,-112.33764073717403,563.6334462393525,6928.137000000001,1.9894532857236614e-16,53.00000456604956,167.99999084501385,0.0,88.15943032794338
15 Dec 2025 18:52:00.000,-638.9696848561484,-4124.386485474276,5529.939977164398,7.447007130303565,-1.426297757247617,-0.2032917897346233,0.0007658939314364455,0.004943650152721077,-0.006628401268632195,53.102835685166205,-106.34297575915407,563.637684375063,6928.137000000004,2.744316910519553e-16,53.00000456605726,167.9999908450206,0.0,91.92315694131375
15 Dec 2025 18:53:00.000,-191.09242011450647,-4201.007447126455,5505.824407564398,7.476866210443877,-1.1268158231319596,-0.6002714508930773,0.00022905081160799298,0.00503549101926147,-0.006599495408389497,52.7891435573026,-100.39170984188921,563.5248383876863,6928.137000000003,1.8147757422707856e-16,53.00000456606495,167.99999084502733,0.0,95.68688355468413
15 Dec 2025 18:54:00.000,257.6091310783314,-4259.507158766106,5457.959196510576,7.474473464417551,-0.8224733141411512,-0.9946618119435146,-0.0003087803300401151,0.005105611050301247,-0.006542122303621152,52.1581265253937,-94.57281969295296,563.2968368355133,6928.136999999999,2.4557513963933085e-16,53.00000456607266,167.9999908450328,0.0,99.45061016805451
15 Dec 2025 18:55:00.000,705.199472750953,-4299.633279040937,5386.550812919569,7.43983921345102,-0.5145830264945757,-1.3847616508754903,-0.0008452795327116819,0.005153707779675037,-0.0064565294360059205,51.22542118320815,-88.9621628478524,562.9575771356399,6928.137000000001,1.8147757422707856e-16,53.00000456608038,167.99999084503824,0.0,103.21433678142489
15 Dec 2025 18:56:00.000,1149.7479021883898,-4321.2127219788945,5291.907280328158,7.373112854070849,-0.2044730599273636,-1.7688882530545444,-0.0013781325809942271,0.005179573739800642,-0.006343086014542526,50.01235716193799,-83.61687398262092,562.5128605866348,6928.136999999999,6.220819904393238e-16,53.000004566088094,167.99999084504503,0.0,106.9780633947961
