Node Name,Node IP,Network Card,Time(YYYY-MM-DD HH:MM:SS),Inbound Traffic Rate(B/s)
k8s-worker12,10.1.2.10,cni0,2026-01-15 20:27:16,3842.777195471094 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-15 21:27:16,3836.125925925926 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-15 22:27:16,3832.24136206903 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-15 23:27:16,3832.510490779595 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 00:27:16,3836.46356865345 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 01:27:16,3841.8709560334964 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 02:27:16,3835.8919847851284 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 03:27:16,3831.8215993392564 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 04:27:16,3833.381481481482 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 05:27:16,4021.422142880953 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 06:27:16,4029.7556657617247 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 07:27:16,4030.1481481481483 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 08:27:16,4030.659145706868 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 09:27:16,3836.347542027933 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 10:27:16,4032.718639698665 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 11:27:16,4016.925925925926 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 12:27:16,4023.2295435942833 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 13:27:16,4023.37786436246 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 14:27:16,3836.5216167467283 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 15:27:16,3837.2333333333336 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 16:27:16,3828.5666666666666 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 17:27:16,3829.748148148148 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 18:27:16,3823.1450994625948 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 19:27:16,3829.0111111111114 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 20:27:16,3839.496890752257 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 21:27:16,3832.1333333333337 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 22:27:16,3842.1561401624444 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-16 23:27:16,3833.7154306835905 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 00:27:16,3829.173441383116 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 01:27:16,3833.6296296296296 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 02:27:16,3838.9 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 03:27:16,3836.514814814815 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 04:27:16,3841.388888888889 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 05:27:16,3831.221597117026 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 06:27:16,3834.2888888888892 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 07:27:16,3835.8734661980225 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 08:27:16,3832.1845636465314 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 09:27:16,3839.5068129881956 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 10:27:16,3830.3444444444444 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 11:27:16,3836.9919888592176 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 12:27:16,3838.6629629629633 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 13:27:16,3845.4475757317614 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 14:27:16,3830.211739956519 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 15:27:16,3830.444444444445 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 16:27:16,3823.3030492705525 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 17:27:16,3840.7962962962965 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 18:27:16,3844.7185185185185 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 19:27:16,3836.1487550046113 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 20:27:16,3831.1327078989175 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 21:27:16,3831.355555555556 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 22:27:16,3951.918518518519 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-17 23:27:16,3937.3590272556557 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 00:27:16,3932.8703703703704 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 01:27:16,3928.892592592593 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 02:27:16,3941.5851851851853 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 03:27:16,3928.547883510679 B/s
